experiment_id,task_name,problem_type,owner,method_name,model_key,tuned_param,param_value,repeat,random_seed,train_mse,train_rmse,train_mae,train_r2,test_mse,test_rmse,test_mae,test_r2
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,50,1,42,135.34603598235023,11.633831526300792,9.997845826637354,0.31283228449323675,203.84599907321524,14.277464728487871,12.266520861041988,-0.02053755400445678
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,50,2,43,135.54731005762244,11.642478690451721,9.996168618688243,0.31181039238171915,202.63343071157527,14.234936976031024,12.280580904844404,-0.014466934245043195
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,50,3,44,134.1367280913309,11.581741151110695,9.948730284715083,0.3189720826394079,202.55986320028228,14.232352693784758,12.251511119780455,-0.014098624793935421
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,100,1,42,135.71527384155004,11.649689860316027,10.012452066700229,0.31095762053028153,202.82704856407878,14.241736149924938,12.262612255080356,-0.0154362654583311
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,100,2,43,134.82454659117832,11.611397271266638,9.982014500562121,0.31547994735969376,202.20422151102568,14.219853076281263,12.257703490548975,-0.012318135104139927
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,100,3,44,134.45870568715824,11.59563304382983,9.968650824652595,0.3173373645823687,202.30156155670224,14.223275345598223,12.246299579902328,-0.012805459714743561
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,200,1,42,135.0719457749266,11.622045679437274,9.992030071850866,0.3142238726569465,202.76276633430342,14.239479145470996,12.270901943928855,-0.015114441974725112
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,200,2,43,134.5114057534624,11.597905231267516,9.971581349227051,0.31706980015828756,202.06096919832362,14.21481513064182,12.259632493015841,-0.011600954656767248
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,200,3,44,134.0209403635245,11.576741353400122,9.956678585359523,0.3195599505279868,202.49856265501427,14.230198967513218,12.260153303893144,-0.013791728858713048
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,300,1,42,134.91998575326352,11.615506263321608,9.990299756419958,0.3149953915283835,202.33887335331087,14.224586930850078,12.260690838483248,-0.012992258032196835
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,300,2,43,134.21379195714042,11.585067628509572,9.962743938224484,0.31858082034471213,201.95722883454386,14.211165639543571,12.254296713914293,-0.011081587401169157
regression_years_random_forest_n_estimators,regression_years,regression,person2,random_forest,random_forest_regression,n_estimators,300,3,44,134.21390770366486,11.585072624013407,9.964933310893556,0.3185802326860179,202.37911586501556,14.226001401132208,12.257267887729741,-0.013193728724036902
